"subject","csv_name","IMC","loss_control","age","PNS","LOC","genre","genre_binaire","prop_correct","HIT","MISS","FA","CR","HIT_corr","FA_corr","dprime","c","HIT_outlier","FA_outlier","nb_timeout","RT_HITS","RT_MISS","RT_FA","RT_CR"
1,"349417_210413_160008.csv","1","1",24,35,29,"Homme",0,0.656,0.533,0.467,0,1,0.531,0.036,1.88,0.86,0.5,0.188,4,1005.125,1370.571,NA,1255.615
2,"349417_210413_160446.csv","1","1",21,44,27,"Homme",0,0.875,0.875,0.125,0.125,0.875,0.853,0.147,2.1,0,0.875,0.125,0,1068.571,967,1016,928.214
3,"349417_210413_160453.csv","1","1",21,52,29,"Femme",1,0.688,0.8,0.2,0.231,0.769,0.781,0.25,1.45,-0.05,0.75,0.375,4,1179.667,1317,1501.333,1396.7
4,"349417_210413_161258.csv","1","0",22,49,41,"Homme",0,0.625,0.833,0.167,0.091,0.909,0.808,0.125,2.02,0.14,0.625,0.375,9,1396.2,1515.5,1002,1285.8
5,"349417_210413_163112.csv","1","0",22,39,38,"Femme",1,0.062,NA,NA,0,1,0.5,0.167,0.97,0.48,0,0.875,30,NA,NA,NA,1625.5
6,"349417_210413_163302.csv","1","0",24,36,26,"Femme",1,0.531,0.308,0.692,0.071,0.929,0.321,0.1,0.82,0.87,0.25,0.188,5,856,1080.556,657,870.462
7,"349417_210413_163450.csv","1","0",23,51,38,"Homme",0,0.5,0.75,0.25,0.222,0.778,0.731,0.25,1.29,0.03,0.562,0.562,11,1479.778,1467.667,1476,956.857
8,"349417_210413_163509.csv","1","0",21,47,28,"Femme",1,0.344,0.556,0.444,0.333,0.667,0.55,0.35,0.51,0.13,0.312,0.625,14,1217,1430.75,937.333,1276.5
9,"349417_210413_163542.csv","1","1",20,46,34,"Femme",1,0.469,0.636,0.364,0,1,0.625,0.056,1.91,0.64,0.438,0.5,13,1056.714,1367,NA,989.875
10,"349417_210413_163825.csv","1","1",22,48,31,"Femme",1,0.75,0.625,0.375,0.125,0.875,0.618,0.147,1.35,0.37,0.625,0.125,0,976.2,1112,1204,1161.714
11,"349417_210413_164535.csv","1","0",22,54,35,"Femme",1,0.688,0.867,0.133,0.357,0.643,0.844,0.367,1.35,-0.33,0.812,0.438,3,809.692,787.5,802,949.333
12,"349417_210413_164919.csv","1","1",20,42,37,"Homme",0,0.188,0.667,0.333,0,1,0.625,0.1,1.6,0.48,0.125,0.75,25,693,819,NA,811.25
13,"349417_210413_170012.csv","1","1",23,59,34,"Homme",0,0.469,0.308,0.692,0.267,0.733,0.321,0.281,0.12,0.52,0.25,0.312,4,1237.25,1059.667,998.5,965.273
14,"349417_210413_170753.csv","1","1",45,32,34,"Femme",1,0.219,0.625,0.375,0.714,0.286,0.611,0.688,-0.21,-0.39,0.312,0.875,17,970.8,1256.333,1374.2,977.5
15,"349417_210413_173411.csv","1","0",21,51,39,"Femme",1,0.719,0.875,0.125,0.4,0.6,0.853,0.406,1.29,-0.41,0.875,0.438,1,568,1169.5,786.833,873.111
16,"349417_210413_182517.csv","1","1",25,34,28,"Homme",0,0.469,0.636,0.364,0.111,0.889,0.625,0.15,1.36,0.36,0.438,0.5,12,1441.286,1630.25,1824,1595.375
17,"349417_210413_183503.csv","1","0",24,57,37,"Homme",0,0.562,0.625,0.375,0.467,0.533,0.618,0.469,0.38,-0.11,0.625,0.5,1,669.7,767.833,509.429,891.875
18,"349417_210413_191221.csv","1","0",20,45,40,"Homme",0,0.625,0.812,0.188,0.533,0.467,0.794,0.531,0.74,-0.45,0.812,0.562,1,719.077,588,754.75,769.429
19,"349417_210413_192818.csv","1","1",18,44,28,"Homme",0,0.219,0.5,0.5,0,1,0.5,0.071,1.47,0.73,0.062,0.625,24,1425,1367,NA,1567.167
20,"349417_210413_193339.csv","1","0",48,48,34,"Femme",1,0.781,0.875,0.125,0.312,0.688,0.853,0.324,1.51,-0.3,0.875,0.312,0,840.643,1153.5,913.4,855.636
21,"349417_210413_194120.csv","1","0",21,48,35,"Femme",1,0.688,0.643,0.357,0.133,0.867,0.633,0.156,1.35,0.33,0.562,0.188,3,1450.444,1381,1267,1475.385
22,"349417_210413_194601.csv","1","1",35,27,34,"Homme",0,0.781,0.875,0.125,0.312,0.688,0.853,0.324,1.51,-0.3,0.875,0.312,0,889.929,1454.5,1029.6,1139.091
23,"349417_210413_194813.csv","1","1",20,54,28,"Homme",0,0.312,0.5,0.5,0,1,0.5,0.071,1.47,0.73,0.25,0.625,18,1397.5,1085.25,NA,1493.167
24,"349417_210413_202452.csv","1","0",20,58,32,"Femme",1,0.188,0.6,0.4,0,1,0.583,0.125,1.36,0.47,0.188,0.812,24,1312.667,1785,NA,1538
25,"349417_210413_210657.csv","1","1",57,50,39,"Femme",1,0.281,0.75,0.25,0.4,0.6,0.722,0.417,0.8,-0.19,0.375,0.812,19,1025.333,752.5,1106.5,1160
26,"349417_210414_000354.csv","1","0",21,45,30,"Homme",0,0.75,0.8,0.2,0.2,0.8,0.781,0.219,1.55,0,0.75,0.25,2,740.75,900.667,902.667,758.167
27,"349417_210414_062227.csv","1","1",25,33,40,"Femme",1,0.031,1,0,NA,NA,0.75,0.5,0.67,-0.34,0.062,1,31,1178,NA,NA,NA
28,"349417_210414_065408.csv","1","1",24,43,31,"Femme",1,0,0,1,NA,NA,0.25,0.5,-0.67,0.34,0,1,31,NA,1115,NA,NA
29,"349417_210414_074352.csv","1","0",25,56,25,"Homme",0,0.656,0.5,0.5,0.188,0.812,0.5,0.206,0.82,0.41,0.5,0.188,0,688,650.75,569,661.077
30,"349417_210414_080606.csv","1","0",19,36,28,"Homme",0,0.844,0.938,0.062,0.25,0.75,0.912,0.265,1.98,-0.36,0.938,0.25,0,842.733,935,851.75,800.583
31,"349417_210414_092557.csv","1","1",21,28,30,"Homme",0,0,NA,NA,NA,NA,0.5,0.5,0,0,0,1,32,NA,NA,NA,NA
32,"349417_210414_120710.csv","1","1",21,39,33,"Homme",0,0.312,0.75,0.25,0.6,0.4,0.722,0.591,0.36,-0.41,0.375,0.75,14,1151,1017.5,971.167,1343
33,"349417_210414_133424.csv","1","0",19,52,40,"Femme",1,0.094,0.5,0.5,0.6,0.4,0.5,0.583,-0.21,-0.11,0.062,0.875,25,1697,1295,1867.667,1852
34,"349417_210414_161646.csv","1","1",19,46,30,"Femme",1,0.094,1,0,0.5,0.5,0.833,0.5,0.97,-0.48,0.125,0.938,28,1576,NA,982,2009
35,"349417_210414_193201.csv","1","0",19,22,29,"Femme",1,0.094,1,0,1,0,0.875,0.75,0.48,-0.91,0.188,1,28,1578.333,NA,1177,NA
36,"349417_210415_075342.csv","1","0",27,54,43,"Femme",1,0.812,0.75,0.25,0.125,0.875,0.735,0.147,1.68,0.21,0.75,0.125,0,911.75,1054.5,1496,1122.643
37,"349417_210415_080515.csv","1","1",22,36,30,"Femme",1,0.656,0.5,0.5,0.067,0.933,0.5,0.094,1.32,0.66,0.438,0.125,3,962.429,815.571,1013,953.214
38,"349417_210415_144555.csv","1","1",25,43,25,"Femme",1,0.344,0.571,0.429,0,1,0.562,0.062,1.69,0.69,0.25,0.562,18,1381.25,1053.333,NA,1227.857
39,"349417_210415_150902.csv","1","0",20,42,27,"Femme",1,0.094,1,0,0,1,0.833,0.25,1.64,-0.15,0.125,0.938,29,1344.5,NA,NA,1286
40,"349417_210415_151656.csv","1","1",22,40,36,"Homme",0,0.094,0.5,0.5,0,1,0.5,0.167,0.97,0.48,0.062,0.875,28,1352,1424,NA,1003
41,"349417_210415_152151.csv","1","1",24,44,19,"Femme",1,0.094,1,0,0,1,0.75,0.167,1.64,0.15,0.062,0.875,29,1347,NA,NA,1233.5
42,"349417_210415_152634.csv","1","1",21,49,37,"Homme",0,0.031,1,0,NA,NA,0.75,0.5,0.67,-0.34,0.062,1,31,793,NA,NA,NA
43,"349417_210415_153114.csv","1","0",25,45,24,"Femme",1,0.312,0.833,0.167,0,1,0.786,0.083,2.17,0.3,0.312,0.688,21,1053.8,1159,NA,857
44,"349417_210415_153520.csv","0","0",20,47,35,"Femme",1,0.062,0.5,0.5,0,1,0.5,0.25,0.67,0.34,0.062,0.938,29,1297,1333,NA,1495
